company_name_raw,sponsor_entity,category
BlackRock,BlackRock Investment Management (UK) Limited,Direct Employer
Tripadvisor,TripAdvisor Ltd,Direct Employer
Bending Spoons,Bending Spoons Operations S.p.A. (UK Branch),Direct Employer
Handelsbanken,Handelsbanken plc,Direct Employer
Mott MacDonald,Mott MacDonald Ltd,Direct Employer
Low Carbon Contracts Company,Low Carbon Contracts Company,Direct Employer
Octopus Energy,Octopus Energy Limited,Direct Employer
Arup,Ove Arup and Partners International Ltd,Direct Employer
Ennismore,Ennismore Fund Management Limited,Direct Employer
Deliveroo,Roofoods Ltd t/a Deliveroo,Direct Employer
National Crime Agency (NCA),National Crime Agency,Public Sector
the LEGO Group,LEGO Company Ltd,Direct Employer
Sahaj Software,Sahaj Software Solutions UK Limited,IT Consulting
Sun Chemical,Sun Chemical Ltd,Direct Employer
Telefónica Tech (EN),Telefonica Tech UK Data & AI Limited,Direct Employer
Korn Ferry,Korn Ferry (UK) Limited,Consulting
Zepz,WorldRemit Ltd (Zepz group),Direct Employer
Neev,Neev Limited,Direct Employer
CMC Markets,CMC Markets UK Plc,Direct Employer
Fanatics,Fanatics International Limited,Direct Employer
Raymond James UK,Raymond James Financial International Ltd,Direct Employer
NHS Resolution,NHS Resolution,Public Sector
ASOS.com,ASOS.com,Direct Employer
TikTok,TikTok Information Technologies UK Limited,Direct Employer
Elsevier,RELX (UK) Limited — parent group licence,Direct Employer
RELX,RELX (UK) Limited,Direct Employer
LexisNexis Risk Solutions,RELX (UK) Limited — parent group licence,Direct Employer
Cirium,RELX (UK) Limited — parent group licence,Direct Employer
LexisNexis,RELX (UK) Limited — parent group licence,Direct Employer
Comply,Comply Exchange Limited,Direct Employer
Dex,Dex International Limited,Direct Employer
Silvershell Integrated Consulting,Silvershell Integrated Consulting Ltd,IT Consulting
Just Eat Takeaway.com,Just Eat Holding Limited,Direct Employer
Urenco Global,Urenco Limited,Direct Employer
Carbon Chain,CarbonChain.io Limited,Direct Employer
Network Rail,Network Rail Infrastructure,Public Sector
Zoopla,Zoopla Ltd,Direct Employer
Preply,Preply UK Services Limited,Direct Employer
Ekimetrics,Ekimetrics UK Limited,Consulting
Warner Music Group,Warner Music (UK) Ltd,Direct Employer
MUFG,"MUFG Bank, Ltd.",Direct Employer
Rimes,Rimes Technologies Limited,Direct Employer
Coca-Cola Europacific Partners,Coca-Cola Europacific Partners Holdings Great Britain Limited,Direct Employer
Exclusive Networks Poland,Exclusive Networks Limited,Direct Employer
Twenty First Group,Twenty First Group Limited,Direct Employer
Sainsbury's,J Sainsbury Plc,Direct Employer
Infoplus Technologies UK Limited,Infoplus Technologies UK Limited,IT Consulting
Checkout.com,CHECKOUT LTD,Direct Employer
Sky,Sky UK Limited,Direct Employer
Women in Data,Women in Data Limited,Direct Employer
Lyst,Lyst Ltd,Direct Employer
Experian,Experian Limited,Direct Employer
CarbonChain,CarbonChain.io Limited,Direct Employer
British Airways,British Airways PLC,Direct Employer
Klarna,Klarna Bank AB UK Branch,Direct Employer
NewDay,NewDay Cards Limited,Direct Employer
MONY Group plc,MONY Group PLC,Direct Employer
HIVED,HIVED Ltd,Direct Employer
Sagacity,Sagacity Solutions Ltd,Consulting
Brook Green Supply,Brook Green Supply Limited,Direct Employer
Exclusive Networks,Exclusive Networks Limited,Direct Employer
Amazon,Amazon UK Services Ltd,Direct Employer
Prime Video & Amazon MGM Studios,Amazon UK Services Ltd,Direct Employer
Lendable,Lendable Operations Ltd,Direct Employer
