Organisation Name,Town/City,County,Type & Rating,Route
Amazon UK Services Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Amazon UK Services Ltd,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Amazon UK Services Ltd,London,,Worker (A rating),Skilled Worker
ASOS.com,London,,Worker (A rating),Skilled Worker
ASOS.com,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
British Airways PLC,Harmondsworth,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
British Airways PLC,Harmondsworth,,Worker (A rating),Skilled Worker
Brook Green Supply Limited,London,,Worker (A rating),Skilled Worker
CarbonChain.io Limited,London,,Worker (A rating),Skilled Worker
CHECKOUT LTD,London,,Worker (A rating),Skilled Worker
CHECKOUT LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
CMC Markets UK Plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
CMC Markets UK Plc,London,,Worker (A rating),Skilled Worker
Comply Exchange Limited,Kingswood,Surrey,Worker (A rating),Skilled Worker
Ekimetrics UK Limited,London,,Worker (A rating),Skilled Worker
Ekimetrics UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Ennismore Fund Management Limited,London,,Worker (A rating),Skilled Worker
Exclusive Networks Limited ,Hampshire,,Worker (A rating),Skilled Worker
Exclusive Networks Limited ,Hampshire,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Fanatics International Limited,Manchester,Greater Manchester,Worker (A rating),Skilled Worker
Fanatics International Limited,Manchester,Greater Manchester,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Handelsbanken plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Handelsbanken plc,London,,Worker (A rating),Skilled Worker
HIVED Ltd,London,,Worker (A rating),Skilled Worker
Infoplus Technologies UK Limited,London,,Worker (A rating),Skilled Worker
Infoplus Technologies UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
J Sainsbury Plc,London,,Worker (A rating),Skilled Worker
Just Eat Holding Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Just Eat Holding Limited,London,,Worker (A rating),Skilled Worker
Klarna Bank AB UK Branch,London,,Worker (A rating),Skilled Worker
Klarna Bank AB UK Branch,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
LEGO Company Ltd,Slough,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
LEGO Company Ltd,Slough,Berkshire,Worker (A rating),Skilled Worker
Lendable Operations Ltd,London,,Worker (A rating),Skilled Worker
Low Carbon Contracts Company,London,,Worker (A rating),Skilled Worker
Lyst Ltd,London,,Worker (A rating),Skilled Worker
Lyst Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
MONY Group PLC,Flintshire,,Worker (A rating),Skilled Worker
Mott MacDonald Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Mott MacDonald Ltd,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Mott MacDonald Ltd,London,,Worker (A rating),Skilled Worker
"MUFG Bank, Ltd.",London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
"MUFG Bank, Ltd.",London,,Worker (A rating),Skilled Worker
"MUFG Bank, Ltd.",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
National Crime Agency,London,,Worker (A rating),Skilled Worker
Network Rail Infrastructure,Manchetser,,Worker (A rating),Skilled Worker
NewDay Cards Limited,London,,Worker (A rating),Skilled Worker
NewDay Cards Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
NHS Resolution,London,Canary Wharf,Worker (A rating),Skilled Worker
Octopus Energy Limited,London,,Worker (A rating),Skilled Worker
Octopus Energy Limited,London,,Worker (A rating),Global Business Mobility: Secondment Worker
Octopus Energy Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Ove Arup and Partners International Ltd,London,,Worker (A rating),Skilled Worker
Ove Arup and Partners International Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Preply UK Services Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Preply UK Services Limited,London,,Worker (A rating),Skilled Worker
Raymond James Financial International Ltd,London,,Worker (A rating),Skilled Worker
Raymond James Financial International Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Rimes Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Rimes Technologies Limited,London,,Worker (A rating),Skilled Worker
Roofoods Ltd t/a Deliveroo,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Roofoods Ltd t/a Deliveroo,London,,Worker (A rating),Skilled Worker
Roofoods Ltd t/a Deliveroo,London,,Worker (A rating),Skilled Worker
Roofoods Ltd t/a Deliveroo,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Sagacity Solutions Ltd,London,,Worker (A rating),Skilled Worker
Sahaj Software Solutions UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Sahaj Software Solutions UK Limited,London,,Worker (A rating),Skilled Worker
Silvershell Integrated Consulting Ltd,Glasgow,,Worker (A rating),Skilled Worker
Sky UK Limited,Middlesex,,Temporary Worker (A rating),Creative Worker
Sky UK Limited,Middlesex,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Sky UK Limited,Middlesex,,Worker (A rating),Skilled Worker
Sun Chemical Ltd,South Normanton,Derbyshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Sun Chemical Ltd,South Normanton,Derbyshire,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Sun Chemical Ltd,South Normanton,Derbyshire,Worker (A rating),Skilled Worker
Telefonica Tech UK Data & AI Limited,Farnham,Surrey,Worker (A rating),Skilled Worker
TikTok Information Technologies UK Limited,London,,Worker (A rating),Skilled Worker
TikTok Information Technologies UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
TripAdvisor Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
TripAdvisor Ltd,London,,Worker (A rating),Skilled Worker
Twenty First Group Limited,London,,Worker (A rating),Skilled Worker
Women in Data Limited,Berrington Way,Hampshire,Worker (A rating),Skilled Worker
WorldRemit Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
WorldRemit Ltd,London,,Worker (A rating),Skilled Worker
Zoopla Ltd,London,,Worker (A rating),Skilled Worker
